length,width,wall_height,roof_angle,orientation_deg,insulation_thickness_mm,window_ratio,pcm_thickness_mm,heating_energy_required_kWh,comfort_hours,estimated_cost_inr,estimated_cost_usd,wall_material,roof_material,floor_material,insulation_material,glazing_type,footprint_m2,is_feasible
3.189550494853802,3.102972566380481,2.24571052653229,28.04140425363668,19.59002920181126,143.7568025098318,0.05586302869680383,48.0511190418905,0.0,23.239755630493164,346733.6449642377,346733.6449642377,cseb,sandwich_panel,concrete,xps_foam,double_pane,9.897087684616636,True
3.189550494853802,3.0846193024443664,2.24571052653229,34.728497305591574,24.579268049700683,142.73603563050244,0.06339144484236757,47.96562248160568,0.0,23.236791610717773,344103.09175011725,344103.09175011725,cseb,sandwich_panel,concrete,xps_foam,double_pane,9.838549022547019,True
3.199438835401374,3.1032110900247365,2.287380263180209,27.995043404740038,19.59002920181126,143.7568025098318,0.05586302869680383,48.151587278906,0.0,23.3700008392334,351206.1445292776,351206.1445292776,cseb,sandwich_panel,concrete,xps_foam,double_pane,9.928534075873372,True
3.008815604058986,3.0696520877661793,2.28793727511504,28.95685250383333,24.495814632935726,124.62421769598967,0.11503979792116505,47.79940835564299,0.42147231101989746,23.822364807128906,314880.3858406226,314880.3858406226,cseb,sandwich_panel,concrete,xps_foam,double_pane,9.236017100703124,True
3.2456031045187137,3.336238947923757,2.288354714294838,29.204877144967764,20.89694683283212,116.96454406066806,0.11513116159436276,44.485247245301395,0.8844920992851257,23.987497329711914,338938.2785311872,338938.2785311872,cseb,sandwich_panel,concrete,xps_foam,double_pane,10.828107486797593,True
3.101621699554306,3.360518118369931,2.2859300969112804,29.204877144967764,26.786309985511796,116.96454406066806,0.11513116159436276,44.485247245301395,1.4459471702575684,23.97665023803711,329503.82230249164,329503.82230249164,cseb,sandwich_panel,concrete,xps_foam,double_pane,10.423055917681586,True
3.849517552755632,3.0777973179823266,2.3250242246969215,30.363246424967297,0.7221518628549006,136.788725708578,0.11504866606165981,46.344647729876115,1.7151607275009155,24.0,392673.85002915474,392673.85002915474,cseb,sandwich_panel,concrete,xps_foam,double_pane,11.848034799397174,True
3.849517552755632,3.365767238749201,2.3239285888971355,29.938122610298027,6.651381175491755,130.16960460379426,0.11510515321498406,47.93971994786344,1.9803285598754883,24.0,415000.3041515615,415000.3041515615,cseb,sandwich_panel,concrete,xps_foam,double_pane,12.956580064054904,True
3.849517552755632,3.365767238749201,2.3250242246969215,29.938122610298027,6.651381175491755,136.788725708578,0.11510515321498406,47.93971994786344,2.015615224838257,24.0,422795.24050189793,422795.24050189793,cseb,sandwich_panel,concrete,xps_foam,double_pane,12.956580064054904,True
3.764276587266155,3.461338132667469,2.288812613666153,18.152180600169338,20.030889165708672,135.64014645764397,0.1150465432693769,46.41091426266783,2.438647508621216,24.0,415602.58625764697,415602.58625764697,cseb,sandwich_panel,concrete,xps_foam,double_pane,13.029434093411705,True
3.007453393008135,3.0696520877661793,2.2868218683908066,28.95372591690161,24.495814632935726,124.62421769598967,0.11511734654414793,41.84025661502271,2.6098718643188477,23.753395080566406,303691.0277233399,303691.0277233399,cseb,sandwich_panel,concrete,xps_foam,double_pane,9.2318355867069,True
3.2961511076146843,3.091789776304971,2.2789459800219127,29.204877144967764,8.008490857753781,93.45453566462524,0.11469309865563136,43.96603469608838,2.9753918647766113,23.438119888305664,299365.66543882183,299365.66543882183,cseb,sandwich_panel,concrete,xps_foam,double_pane,10.191006295679387,True
3.846606228697085,3.2174481604931033,2.2896883677564546,29.448174078297416,24.450322631896395,135.78866551488784,0.11563360546412631,49.68977932313768,3.0594725608825684,24.0,408999.8114517621,408999.8114517621,cseb,sandwich_panel,concrete,xps_foam,double_pane,12.376256134662748,True
